,Open,High,Low,Close,Volume
2017-06-12 16:00:00-04:00,19.25,19.4584,17.77,18.8,552029
2017-06-13 16:00:00-04:00,18.8,19.615,18.52,19.38,319663
2017-06-14 16:00:00-04:00,19.35,19.75,19.03,19.26,243384
2017-06-15 16:00:00-04:00,19.25,19.4,18.3,18.8,402901
2017-06-16 16:00:00-04:00,18.74,19.115,18.2,18.69,1058535
2017-06-19 16:00:00-04:00,18.86,19.18,18.37,18.69,383850
2017-06-20 16:00:00-04:00,18.66,19.0799,18.38,18.94,316036
2017-06-21 16:00:00-04:00,19.04,19.59,18.86,19.27,329049
2017-06-22 16:00:00-04:00,19.28,19.49,18.98,19.12,246842
2017-06-23 16:00:00-04:00,19.24,19.7,19.115,19.57,1041824
2017-06-26 16:00:00-04:00,19.57,20.49,19.45,20.24,584938
2017-06-27 16:00:00-04:00,20.25,20.34,19.28,19.49,294686
2017-06-28 16:00:00-04:00,19.68,19.94,19.54,19.73,127638
2017-06-29 16:00:00-04:00,19.74,19.74,19.35,19.51,267001
2017-06-30 16:00:00-04:00,19.49,19.86,19.36,19.52,81998
2017-07-03 13:00:00-04:00,19.74,19.8298,19.29,19.47,136716
2017-07-05 16:00:00-04:00,19.44,19.85,18.9,19.77,122200
2017-07-06 16:00:00-04:00,19.54,19.76,18.86,19.28,174001
2017-07-07 16:00:00-04:00,19.3,19.8899,19.3,19.7,181945
2017-07-10 16:00:00-04:00,19.75,20.3899,19.53,19.96,196246
2017-07-11 16:00:00-04:00,19.83,20.2,19.68,20.19,197163
2017-07-12 16:00:00-04:00,20.25,22.2,20.23,21.69,444764
2017-07-13 16:00:00-04:00,21.81,21.95,21.245,21.54,114811
2017-07-14 16:00:00-04:00,21.69,22.22,21.53,22.18,182713
2017-07-17 16:00:00-04:00,22.18,22.67,22.0,22.17,114403
2017-07-18 16:00:00-04:00,22.05,22.78,21.64,22.67,184390
2017-07-19 16:00:00-04:00,22.75,23.1442,22.09,22.45,232908
2017-07-20 16:00:00-04:00,22.43,22.68,21.92,22.23,136036
2017-07-21 16:00:00-04:00,22.33,22.33,20.68,21.49,187933
2017-07-24 16:00:00-04:00,21.57,21.76,21.14,21.72,77462
2017-07-25 16:00:00-04:00,21.69,22.12,21.32,21.47,93210
2017-07-26 16:00:00-04:00,21.65,21.65,20.89,21.24,174341
2017-07-27 16:00:00-04:00,21.13,21.555,20.29,20.94,165580
2017-07-28 16:00:00-04:00,21.04,21.49,20.32,20.35,158996
2017-07-31 16:00:00-04:00,0.0,0.0,19.97,20.12,159109
2017-08-01 16:00:00-04:00,20.24,20.24,19.59,19.76,153816
2017-08-02 16:00:00-04:00,19.77,20.16,19.0,19.06,320624
2017-08-03 16:00:00-04:00,21.99,22.67,20.2213,21.97,979236
2017-08-04 16:00:00-04:00,21.96,23.55,21.478,22.98,333545
2017-08-07 16:00:00-04:00,22.9,22.9862,22.271,22.79,214669
2017-08-08 16:00:00-04:00,22.97,23.25,22.3995,22.77,302158
2017-08-09 16:00:00-04:00,22.77,22.82,21.97,22.15,81069
2017-08-10 16:00:00-04:00,22.15,22.15,20.9081,21.15,172871
2017-08-11 16:00:00-04:00,20.86,22.8502,20.49,22.5,278103
2017-08-14 16:00:00-04:00,22.8,23.84,22.5476,23.44,226101
2017-08-15 16:00:00-04:00,23.49,23.49,21.87,22.05,171116
2017-08-16 16:00:00-04:00,22.26,22.96,21.95,22.93,140043
2017-08-17 16:00:00-04:00,22.87,23.2,22.06,22.13,226523
2017-08-18 16:00:00-04:00,22.2,22.93,22.01,22.63,129054
2017-08-21 16:00:00-04:00,22.54,22.7205,22.2,22.52,71676
2017-08-22 16:00:00-04:00,22.57,22.91,22.42,22.59,138198
2017-08-23 16:00:00-04:00,22.41,22.79,22.34,22.52,118536
2017-08-24 16:00:00-04:00,22.52,22.6984,22.208,22.41,96367
2017-08-25 16:00:00-04:00,22.48,22.92,22.19,22.74,115691
2017-08-28 16:00:00-04:00,22.77,22.77,22.19,22.54,62826
2017-08-29 16:00:00-04:00,22.34,22.92,22.18,22.86,142152
2017-08-30 16:00:00-04:00,23.02,24.07,22.99,23.43,255287
2017-08-31 16:00:00-04:00,23.65,23.785,23.23,23.59,101102
2017-09-01 16:00:00-04:00,23.6,23.77,22.63,22.81,154674
2017-09-05 16:00:00-04:00,22.7,22.96,22.24,22.8,118528
2017-09-06 16:00:00-04:00,22.13,22.59,21.27,22.08,552275
2017-09-07 16:00:00-04:00,21.86,22.1699,21.35,21.48,373866
2017-09-08 16:00:00-04:00,20.8,21.04,19.41,19.53,5888934
2017-09-11 16:00:00-04:00,19.89,20.19,19.76,19.94,821847
2017-09-12 16:00:00-04:00,20.0,20.12,19.34,19.37,777780
2017-09-13 16:00:00-04:00,19.63,19.8396,19.385,19.68,458999
2017-09-14 16:00:00-04:00,19.64,19.84,18.98,19.01,694241
2017-09-15 16:00:00-04:00,19.09,19.26,18.635,18.79,1262299
2017-09-18 16:00:00-04:00,18.86,19.75,18.8001,19.52,584430
2017-09-19 16:00:00-04:00,19.64,19.95,19.35,19.65,529296
2017-09-20 16:00:00-04:00,19.61,19.75,19.01,19.28,576322
2017-09-21 16:00:00-04:00,19.33,19.57,19.0,19.01,550106
2017-09-22 16:00:00-04:00,19.0,19.54,18.8,19.23,788652
2017-09-25 16:00:00-04:00,19.2,19.29,18.96,19.05,668792
2017-09-26 16:00:00-04:00,19.31,19.75,19.08,19.29,604159
2017-09-27 16:00:00-04:00,19.43,19.95,19.32,19.91,954573
2017-09-28 16:00:00-04:00,20.0,20.6,19.9,20.43,547024
2017-09-29 16:00:00-04:00,20.5,20.65,20.0,20.37,533574
2017-10-02 16:00:00-04:00,20.5,20.57,20.0,20.39,417134
2017-10-03 16:00:00-04:00,19.98,20.64,19.98,20.4,362757
2017-10-04 16:00:00-04:00,20.4,20.69,20.33,20.56,436926
2017-10-05 16:00:00-04:00,20.48,20.63,20.105,20.55,236096
2017-10-06 16:00:00-04:00,20.36,21.0,20.25,20.69,429264
2017-10-09 16:00:00-04:00,20.61,21.42,20.5801,20.99,444873
2017-10-10 16:00:00-04:00,21.12,21.39,20.37,20.95,351309
2017-10-11 16:00:00-04:00,20.95,21.25,20.95,21.145,132534
2017-10-12 16:00:00-04:00,21.07,21.44,20.81,20.91,264627
2017-10-13 16:00:00-04:00,21.03,21.07,20.691,20.94,181612
2017-10-16 16:00:00-04:00,21.23,21.83,21.05,21.25,424304
2017-10-17 16:00:00-04:00,21.29,21.55,20.8701,21.13,132302
2017-10-18 16:00:00-04:00,21.25,21.49,21.05,21.33,375387
2017-10-19 16:00:00-04:00,21.21,21.44,21.0,21.39,121187
2017-10-20 16:00:00-04:00,21.5,22.1,21.39,22.05,306756
2017-10-23 16:00:00-04:00,22.0,22.3,21.94,22.06,323289
2017-10-24 16:00:00-04:00,22.1,22.46,22.1,22.3,303725
2017-10-25 16:00:00-04:00,22.36,22.44,21.6,22.03,203173
2017-10-26 16:00:00-04:00,22.05,22.05,21.69,21.98,123580
2017-10-27 16:00:00-04:00,22.2,22.273,21.84,22.22,103274
2017-10-30 16:00:00-04:00,22.11,22.19,21.591,22.07,174354
2017-10-31 16:00:00-04:00,22.01,22.6,22.01,22.59,143860
2017-11-01 16:00:00-04:00,22.6,22.6,22.1591,22.47,143040
2017-11-02 16:00:00-04:00,22.38,22.8399,22.26,22.53,102863
2017-11-03 16:00:00-04:00,22.52,22.535,21.95,22.0,141639
2017-11-06 16:00:00-05:00,21.97,22.58,21.97,22.05,131264
2017-11-07 16:00:00-05:00,22.12,22.1346,21.45,21.6,257853
2017-11-08 16:00:00-05:00,21.54,21.87,21.31,21.76,252273
2017-11-09 16:00:00-05:00,21.53,22.0,21.15,21.84,375073
2017-11-10 16:00:00-05:00,23.48,26.89,23.0,25.3,2014751
2017-11-13 16:00:00-05:00,25.05,26.87,24.91,25.25,584798
2017-11-14 16:00:00-05:00,25.0,25.736,24.26,25.02,518489
2017-11-15 16:00:00-05:00,24.5,25.49,24.31,25.23,484247
2017-11-16 16:00:00-05:00,25.3,27.0234,24.975,26.0,1139530
2017-11-17 16:00:00-05:00,25.87,26.43,25.55,25.69,462878
2017-11-20 16:00:00-05:00,25.88,27.585,25.84,27.45,860437
2017-11-21 16:00:00-05:00,27.25,27.55,26.46,27.12,479942
2017-11-22 16:00:00-05:00,27.01,27.45,26.35,27.17,439795
2017-11-24 13:00:00-05:00,27.19,27.54,27.12,27.22,177125
2017-11-27 16:00:00-05:00,27.32,27.565,26.79,27.32,441780
2017-11-28 16:00:00-05:00,27.35,27.43,26.64,26.65,432005
2017-11-29 16:00:00-05:00,26.72,27.15,24.64,24.79,816650
2017-11-30 16:00:00-05:00,25.0,26.0994,24.2873,24.96,836474
2017-12-01 16:00:00-05:00,24.91,25.47,24.5126,24.89,475942
2017-12-04 16:00:00-05:00,25.32,25.7,24.38,24.57,503960
2017-12-05 16:00:00-05:00,24.43,25.76,24.43,25.63,559311
2017-12-06 16:00:00-05:00,27.05,28.415,26.53,27.84,1171998
2017-12-07 16:00:00-05:00,26.83,28.04,26.71,26.83,984344
2017-12-08 16:00:00-05:00,27.5,27.865,26.66,27.3,590034
