,Open,High,Low,Close,Volume
2013-10-25 16:00:00-04:00,64.16,64.459,61.93,61.96,947679
2013-10-28 16:00:00-04:00,62.26,62.59,60.49,60.96,1173075
2013-10-29 16:00:00-04:00,61.25,61.97,59.5,61.64,1144622
2013-10-30 16:00:00-04:00,62.17,63.23,61.91,62.83,1484141
2013-10-31 16:00:00-04:00,62.65,63.07,61.72,62.71,927053
2013-11-01 16:00:00-04:00,62.89,64.34,62.12,62.44,1002678
2013-11-04 16:00:00-05:00,62.57,63.92,61.97,63.05,1100604
2013-11-05 16:00:00-05:00,63.0,64.498,62.59,63.98,953364
2013-11-06 16:00:00-05:00,64.52,64.7,63.1,63.65,1191017
2013-11-07 16:00:00-05:00,63.77,65.15,61.39,61.729,1308535
2013-11-08 16:00:00-05:00,61.99,62.36,59.5,60.3,2295926
2013-11-11 16:00:00-05:00,60.34,61.45,59.92,60.94,899583
2013-11-12 16:00:00-05:00,60.87,61.75,60.6001,61.03,873707
2013-11-13 16:00:00-05:00,60.31,62.16,60.31,61.89,1040290
2013-11-14 16:00:00-05:00,61.92,62.6,61.37,62.55,472161
2013-11-15 16:00:00-05:00,63.46,63.52,62.71,63.34,751279
2013-11-18 16:00:00-05:00,63.55,64.6,62.49,62.71,1083879
2013-11-19 16:00:00-05:00,63.03,63.59,62.48,62.9,1164613
2013-11-20 16:00:00-05:00,63.1,63.75,62.45,62.53,1108094
2013-11-21 16:00:00-05:00,62.95,62.99,59.68,59.9,3315288
2013-11-22 16:00:00-05:00,69.47,74.76,69.0064,73.56,6652120
2013-11-25 16:00:00-05:00,72.84,74.97,70.05,71.03,2844739
2013-11-26 16:00:00-05:00,71.07,73.24,70.78,73.08,1753047
2013-11-27 16:00:00-05:00,73.04,73.67,72.06,72.71,917609
2013-11-29 16:00:00-05:00,72.99,72.99,71.53,72.16,387031
2013-12-02 16:00:00-05:00,72.03,72.89,70.68,71.69,1066370
2013-12-03 16:00:00-05:00,71.25,72.15,69.95,70.48,1313172
2013-12-04 16:00:00-05:00,70.28,70.28,68.37,69.66,1441521
2013-12-05 16:00:00-05:00,69.26,71.67,69.21,70.79,976508
2013-12-06 16:00:00-05:00,71.49,71.49,68.8,69.68,744894
2013-12-09 16:00:00-05:00,69.78,69.91,68.08,69.07,838623
2013-12-10 16:00:00-05:00,69.08,69.08,68.0,68.43,829863
2013-12-11 16:00:00-05:00,68.63,68.63,66.69,66.99,771196
2013-12-12 16:00:00-05:00,66.97,68.64,66.75,68.05,973372
2013-12-13 16:00:00-05:00,68.26,68.31,67.1,67.73,810609
2013-12-16 16:00:00-05:00,68.0,69.0,67.51,68.12,874211
2013-12-17 16:00:00-05:00,68.12,69.86,68.05,69.5,1142990
2013-12-18 16:00:00-05:00,69.36,69.456,66.3,68.64,1275052
2013-12-19 16:00:00-05:00,68.58,70.6,68.1401,68.49,914457
2013-12-20 16:00:00-05:00,68.77,70.24,68.41,69.52,2380418
2013-12-23 16:00:00-05:00,70.0,70.85,69.49,70.64,773023
2013-12-24 16:00:00-05:00,70.64,70.9,69.32,70.22,322014
2013-12-26 16:00:00-05:00,70.08,71.53,69.485,70.57,534405
2013-12-27 16:00:00-05:00,70.6,71.17,68.79,68.99,447737
2013-12-30 16:00:00-05:00,69.0,69.42,67.871,68.93,464553
2013-12-31 16:00:00-05:00,68.93,69.91,68.001,68.67,776713
2014-01-02 16:00:00-05:00,68.09,72.34,68.09,71.46,1775015
2014-01-03 16:00:00-05:00,71.45,71.5,69.8325,70.98,736720
2014-01-06 16:00:00-05:00,71.1,72.24,70.04,70.78,766543
2014-01-07 16:00:00-05:00,73.05,76.99,73.0,75.39,2622538
2014-01-08 16:00:00-05:00,75.91,76.378,74.11,74.91,1066847
2014-01-09 16:00:00-05:00,75.35,75.645,73.13,74.58,725859
2014-01-10 16:00:00-05:00,73.23,75.29,71.52,75.24,1118284
2014-01-13 16:00:00-05:00,75.4,75.5,72.86,73.31,875501
2014-01-14 16:00:00-05:00,73.85,75.39,73.0401,75.04,886028
2014-01-15 16:00:00-05:00,75.25,76.21,75.13,75.99,1108214
2014-01-16 16:00:00-05:00,77.15,81.03,77.0,79.43,1705842
2014-01-17 16:00:00-05:00,79.46,79.99,77.95,79.67,1603684
2014-01-21 16:00:00-05:00,80.87,82.82,80.02,81.5,2358908
2014-01-22 16:00:00-05:00,80.6,83.97,80.6,82.24,1891067
2014-01-23 16:00:00-05:00,82.0,82.08,79.0,81.82,4217240
2014-01-24 16:00:00-05:00,81.72,82.71,76.91,76.99,2185877
2014-01-27 16:00:00-05:00,78.43,79.745,72.43,73.97,2650990
2014-01-28 16:00:00-05:00,73.92,75.56,73.91,75.27,1588293
2014-01-29 16:00:00-05:00,74.85,76.6372,72.66,73.03,1898134
2014-01-30 16:00:00-05:00,76.51,78.26,74.45,77.42,2640741
2014-01-31 16:00:00-05:00,76.36,78.48,75.01,77.03,2058651
2014-02-03 16:00:00-05:00,76.74,78.74,73.2,74.15,1585021
2014-02-04 16:00:00-05:00,74.84,76.33,73.471,76.14,1080991
2014-02-05 16:00:00-05:00,77.6,79.94,74.25,77.29,2017415
2014-02-06 16:00:00-05:00,77.34,79.34,77.02,77.68,1505258
2014-02-07 16:00:00-05:00,77.7,80.0,77.64,79.88,1812634
2014-02-10 16:00:00-05:00,80.02,81.24,78.95,80.9,1389921
2014-02-11 16:00:00-05:00,81.39,83.65,81.3,83.16,1654114
2014-02-12 16:00:00-05:00,83.83,83.89,81.7,83.04,1126704
2014-02-13 16:00:00-05:00,81.51,86.38,81.0,86.3,1403099
2014-02-14 16:00:00-05:00,87.2,87.45,84.68,86.09,1029497
2014-02-18 16:00:00-05:00,87.95,87.99,85.76,86.43,1225392
2014-02-19 16:00:00-05:00,84.62,86.4,84.45,86.02,3195773
2014-02-20 16:00:00-05:00,86.43,89.0,86.07,88.51,1720554
2014-02-21 16:00:00-05:00,89.25,89.83,87.38,89.02,1268976
2014-02-24 16:00:00-05:00,89.83,91.12,88.6,90.75,1284743
2014-02-25 16:00:00-05:00,92.85,95.019,90.1401,93.31,2494977
2014-02-26 16:00:00-05:00,95.08,96.21,91.91,92.96,2146577
2014-02-27 16:00:00-05:00,93.76,97.33,93.74,95.5,2508732
2014-02-28 16:00:00-05:00,102.94,106.15,90.78,92.75,5353430
2014-03-03 16:00:00-05:00,87.615,90.0899,85.67,88.99,3567487
2014-03-04 16:00:00-05:00,92.23,93.4299,91.19,92.0,1827623
2014-03-05 16:00:00-05:00,91.96,92.84,91.11,92.32,1399046
2014-03-06 16:00:00-05:00,92.78,93.42,91.0,91.56,1634137
2014-03-07 16:00:00-05:00,91.71,92.06,86.94,88.64,2609078
2014-03-10 16:00:00-04:00,87.87,88.77,83.591,84.97,2561483
2014-03-11 16:00:00-04:00,85.01,87.24,84.325,84.7,2051090
2014-03-12 16:00:00-04:00,84.31,88.06,83.6,87.71,1854216
2014-03-13 16:00:00-04:00,87.88,88.46,83.695,85.34,2112285
2014-03-14 16:00:00-04:00,84.68,85.8182,83.84,84.57,1005694
2014-03-17 16:00:00-04:00,84.75,87.1,84.65,85.48,1027675
2014-03-18 16:00:00-04:00,85.79,90.49,85.445,90.02,2401695
2014-03-19 16:00:00-04:00,89.68,89.855,87.04,87.95,1658022
2014-03-20 16:00:00-04:00,87.54,90.0,86.0,89.42,1916935
2014-03-21 16:00:00-04:00,89.46,89.73,84.37,84.78,3749510
2014-03-24 16:00:00-04:00,85.54,85.54,74.08,77.27,5897696
2014-03-25 16:00:00-04:00,79.17,79.53,72.4205,74.2,5755558
2014-03-26 16:00:00-04:00,75.43,77.17,73.62,74.84,4017122
2014-03-27 16:00:00-04:00,74.54,74.54,71.1,73.53,3702778
2014-03-28 16:00:00-04:00,73.44,74.89,71.0,71.41,2653867
2014-03-31 16:00:00-04:00,72.93,72.93,70.44,71.49,2617953
2014-04-01 16:00:00-04:00,71.76,75.0,71.0,74.9,4313495
2014-04-02 16:00:00-04:00,75.65,76.26,70.27,71.12,3167047
2014-04-03 16:00:00-04:00,72.0,72.15,65.216,66.36,5266691
2014-04-04 16:00:00-04:00,67.22,68.93,61.66,62.68,6474659
2014-04-07 16:00:00-04:00,62.12,64.22,58.289,60.57,8362738
2014-04-08 16:00:00-04:00,61.89,63.09,58.58,61.42,5566463
2014-04-09 16:00:00-04:00,62.27,65.3,61.54,65.04,5042750
2014-04-10 16:00:00-04:00,64.97,65.259,57.64,58.4,4993602
2014-04-11 16:00:00-04:00,56.86,60.2,55.55,57.68,3727864
2014-04-14 16:00:00-04:00,59.19,61.95,58.86,60.5,6387133
2014-04-15 16:00:00-04:00,60.75,64.64,58.73,64.36,6691537
2014-04-16 16:00:00-04:00,65.06,65.53,62.93,64.77,4009307
2014-04-17 16:00:00-04:00,65.53,67.565,64.62,65.84,3857620
2014-04-21 16:00:00-04:00,65.84,65.88,62.44,64.3,2059527
2014-04-22 16:00:00-04:00,63.97,66.61,63.97,65.74,1921957
2014-04-23 16:00:00-04:00,66.02,66.28,61.345,61.45,3290736
2014-04-24 16:00:00-04:00,62.26,62.485,56.5,59.23,5449423
2014-04-25 16:00:00-04:00,58.88,59.19,54.67,55.6,4122452
2014-04-28 16:00:00-04:00,55.87,55.949,50.84,52.99,5910565
2014-04-29 16:00:00-04:00,52.69,56.41,52.181,55.55,3879800
2014-04-30 16:00:00-04:00,55.12,55.35,53.18,54.57,2379550
2014-05-01 16:00:00-04:00,54.58,57.599,53.88,54.9,3474759
2014-05-02 16:00:00-04:00,55.02,55.5,53.25,54.87,2422699
2014-05-05 16:00:00-04:00,54.14,55.62,53.25,54.74,2597009
2014-05-06 16:00:00-04:00,55.51,55.51,51.71,51.75,2572919
2014-05-07 16:00:00-04:00,51.4,51.53,45.12,48.51,8384410
2014-05-08 16:00:00-04:00,48.3,49.75,46.38,46.65,4037587
2014-05-09 16:00:00-04:00,46.25,47.37,45.41,46.5,2782171
2014-05-12 16:00:00-04:00,47.02,48.81,46.34,48.23,3558629
2014-05-13 16:00:00-04:00,48.23,48.5,43.96,44.07,5181344
2014-05-14 16:00:00-04:00,43.81,46.21,43.425,43.7,4806293
2014-05-15 16:00:00-04:00,44.13,44.59,41.07,43.6,6254279
2014-05-16 16:00:00-04:00,43.58,44.25,42.14,43.76,4550504
2014-05-19 16:00:00-04:00,43.68,45.28,43.22,44.0,3798169
2014-05-20 16:00:00-04:00,43.43,45.54,42.3,44.16,4950768
2014-05-21 16:00:00-04:00,44.5,45.34,43.03,44.52,3082696
2014-05-22 16:00:00-04:00,44.39,46.45,44.0,45.75,3829731
2014-05-23 16:00:00-04:00,46.33,46.33,44.29,45.99,2700113
2014-05-27 16:00:00-04:00,47.24,49.68,47.24,48.89,4619076
2014-05-28 16:00:00-04:00,50.35,50.74,47.823,48.88,5671667
2014-05-29 16:00:00-04:00,49.93,50.5,48.53,50.039,5402319
2014-05-30 16:00:00-04:00,46.92,47.0,41.05,41.86,19324936
2014-06-02 16:00:00-04:00,41.96,43.31,41.22,41.97,5660720
2014-06-03 16:00:00-04:00,41.69,41.97,39.35,40.5,5690658
2014-06-04 16:00:00-04:00,40.13,41.25,39.76,40.39,2662000
2014-06-05 16:00:00-04:00,40.85,43.29,40.01,42.92,5763426
2014-06-06 16:00:00-04:00,43.0,43.49,42.01,43.18,3151709
2014-06-09 16:00:00-04:00,43.29,45.24,42.7,43.95,3442808
2014-06-10 16:00:00-04:00,44.01,44.72,43.23,43.85,1648153
2014-06-11 16:00:00-04:00,43.71,45.0,43.55,44.81,2491157
2014-06-12 16:00:00-04:00,44.85,46.95,44.0301,45.75,3438418
2014-06-13 16:00:00-04:00,45.83,47.24,44.76,47.17,2792423
2014-06-16 16:00:00-04:00,46.72,49.36,46.5,49.15,3570352
2014-06-17 16:00:00-04:00,48.87,49.37,47.6,48.98,2713489
2014-06-18 16:00:00-04:00,49.35,51.03,48.27,50.529,4418292
2014-06-19 16:00:00-04:00,50.95,51.69,50.5,51.3,3944564
2014-06-20 16:00:00-04:00,51.3,51.63,49.58,50.7,3838444
2014-06-23 16:00:00-04:00,50.65,52.62,50.28,52.49,3414703
2014-06-24 16:00:00-04:00,52.56,54.0981,51.9401,52.63,4330510
2014-06-25 16:00:00-04:00,52.99,53.4,51.6,53.3,2925674
2014-06-26 16:00:00-04:00,53.45,54.715,53.09,53.96,2940307
2014-06-27 16:00:00-04:00,53.84,54.8,53.57,54.58,2596262
2014-06-30 16:00:00-04:00,54.5,55.589,54.31,55.33,2171267
2014-07-01 16:00:00-04:00,55.5,56.62,55.26,56.31,3335222
2014-07-02 16:00:00-04:00,56.25,56.63,54.81,55.08,2180594
2014-07-03 16:00:00-04:00,55.03,55.25,52.245,53.75,2513718
2014-07-07 16:00:00-04:00,53.59,54.17,51.64,51.8,2965103
2014-07-08 16:00:00-04:00,51.59,51.74,45.8,48.01,7373968
2014-07-09 16:00:00-04:00,48.04,49.08,46.92,47.87,3621086
2014-07-10 16:00:00-04:00,45.18,47.95,45.02,47.01,3432675
2014-07-11 16:00:00-04:00,47.32,47.92,46.21,47.24,1280213
2014-07-14 16:00:00-04:00,47.57,49.25,47.5,48.03,1602424
2014-07-15 16:00:00-04:00,47.91,48.28,46.07,46.38,2164243
2014-07-16 16:00:00-04:00,47.29,47.426,46.22,46.54,1270350
2014-07-17 16:00:00-04:00,46.0,46.87,45.53,45.78,1798312
2014-07-18 16:00:00-04:00,46.24,47.02,45.98,46.43,1367496
2014-07-21 16:00:00-04:00,46.22,46.965,45.4,46.09,1323105
2014-07-22 16:00:00-04:00,46.61,47.8,46.37,46.79,1346342
2014-07-23 16:00:00-04:00,46.62,47.6925,46.46,47.33,976572
2014-07-24 16:00:00-04:00,47.33,48.21,46.87,47.92,1657219
2014-07-25 16:00:00-04:00,47.61,48.58,47.055,47.88,1107528
2014-07-28 16:00:00-04:00,47.88,48.22,46.46,47.19,1273942
2014-07-29 16:00:00-04:00,47.38,48.25,46.7101,47.76,1064313
2014-07-30 16:00:00-04:00,47.87,50.97,47.39,50.39,2748688
2014-07-31 16:00:00-04:00,49.38,49.56,46.95,47.02,2329351
2014-08-01 16:00:00-04:00,47.1,47.243,43.52,44.27,3811128
2014-08-04 16:00:00-04:00,44.59,45.52,43.9,45.4,1492331
2014-08-05 16:00:00-04:00,45.06,45.75,43.61,44.11,1830476
2014-08-06 16:00:00-04:00,43.0,43.215,41.77,42.27,2971531
2014-08-07 16:00:00-04:00,42.68,42.72,41.32,41.85,2906092
2014-08-08 16:00:00-04:00,41.99,42.4,40.71,41.07,2608909
2014-08-11 16:00:00-04:00,41.3,42.36,40.89,41.93,2225066
2014-08-12 16:00:00-04:00,42.02,42.37,40.8,41.05,1172806
2014-08-13 16:00:00-04:00,41.58,42.42,41.01,42.36,1742134
2014-08-14 16:00:00-04:00,42.88,42.99,42.05,42.8,1913634
2014-08-15 16:00:00-04:00,42.97,43.47,42.4,42.75,1742070
2014-08-18 16:00:00-04:00,43.17,43.77,43.09,43.48,1163926
2014-08-19 16:00:00-04:00,43.71,44.44,43.63,44.18,984764
2014-08-20 16:00:00-04:00,43.84,43.88,42.79,42.9,2102681
2014-08-21 16:00:00-04:00,43.13,43.77,42.15,42.21,2085824
2014-08-22 16:00:00-04:00,42.11,44.03,40.9,43.95,2542144
2014-08-25 16:00:00-04:00,44.57,44.57,43.25,43.68,1731001
2014-08-26 16:00:00-04:00,43.72,46.81,43.65,46.22,2547787
2014-08-27 16:00:00-04:00,46.37,46.48,45.51,45.9,1735855
2014-08-28 16:00:00-04:00,45.89,46.22,45.1,45.29,3881143
2014-08-29 16:00:00-04:00,48.72,54.95,48.55,53.926,20229567
2014-09-02 16:00:00-04:00,53.75,60.16,53.36,59.93,13453876
2014-09-03 16:00:00-04:00,60.31,60.35,55.3,56.97,7732893
2014-09-04 16:00:00-04:00,57.33,57.96,56.08,57.1,3437646
2014-09-05 16:00:00-04:00,56.98,59.8,56.32,59.23,5070229
2014-09-08 16:00:00-04:00,58.7,60.74,58.54,59.42,4281497
2014-09-09 16:00:00-04:00,59.09,59.71,57.215,57.47,2112211
2014-09-10 16:00:00-04:00,57.41,59.88,57.0,59.54,2355971
2014-09-11 16:00:00-04:00,58.82,61.36,58.36,60.51,3421113
2014-09-12 16:00:00-04:00,60.0,60.9,58.96,59.02,2779441
2014-09-15 16:00:00-04:00,58.91,59.1,54.0,55.64,3750282
2014-09-16 16:00:00-04:00,55.26,56.93,54.78,56.48,2172249
2014-09-17 16:00:00-04:00,56.2,57.43,55.79,56.36,1615092
2014-09-18 16:00:00-04:00,56.66,57.06,55.76,56.25,1320768
2014-09-19 16:00:00-04:00,56.48,56.72,54.82,56.21,3091257
2014-09-22 16:00:00-04:00,56.0,56.2,53.75,54.59,2647140
2014-09-23 16:00:00-04:00,54.22,55.97,54.1,54.59,1975515
2014-09-24 16:00:00-04:00,54.68,56.06,53.95,56.05,1821258
2014-09-25 16:00:00-04:00,55.6,56.64,53.54,54.06,1961437
2014-09-26 16:00:00-04:00,54.68,55.64,54.22,55.57,1258029
2014-09-29 16:00:00-04:00,54.43,56.16,54.14,55.22,1628477
2014-09-30 16:00:00-04:00,55.49,56.0,53.97,55.36,1612108
2014-10-01 16:00:00-04:00,54.79,54.889,52.76,53.51,2041650
2014-10-02 16:00:00-04:00,54.05,55.91,52.51,55.29,2164593
2014-10-03 16:00:00-04:00,56.09,60.42,55.5,59.21,3772813
2014-10-06 16:00:00-04:00,61.48,63.55,59.61,59.71,3421738
2014-10-07 16:00:00-04:00,59.11,60.66,57.19,57.25,2971827
2014-10-08 16:00:00-04:00,58.07,58.82,55.29,58.6,2424190
2014-10-09 16:00:00-04:00,58.42,59.83,57.07,57.5,2277606
2014-10-10 16:00:00-04:00,57.23,58.94,53.12,53.22,3241521
2014-10-13 16:00:00-04:00,54.2,54.86,49.61,51.26,4565529
2014-10-14 16:00:00-04:00,51.87,53.35,50.37,51.74,1991582
2014-10-15 16:00:00-04:00,50.0,54.4,49.6129,53.43,2355398
2014-10-16 16:00:00-04:00,51.34,56.17,51.3,54.74,2068392
2014-10-17 16:00:00-04:00,56.22,58.76,55.76,56.58,2815033
2014-10-20 16:00:00-04:00,55.74,57.05,54.85,55.91,1696554
2014-10-21 16:00:00-04:00,56.53,58.91,56.0,58.32,1719307
2014-10-22 16:00:00-04:00,57.98,58.21,55.22,55.7,2568322
2014-10-23 16:00:00-04:00,56.7,61.5,56.41,59.83,3721986
2014-10-24 16:00:00-04:00,59.81,63.75,59.65,63.24,3150999
2014-10-27 16:00:00-04:00,62.7,64.0,61.9,62.55,1649728
2014-10-28 16:00:00-04:00,63.13,67.08,62.7,66.57,3200097
2014-10-29 16:00:00-04:00,66.27,66.27,63.43,64.18,2371455
2014-10-30 16:00:00-04:00,63.8,66.4434,63.41,65.7,1737233
2014-10-31 16:00:00-04:00,67.0,68.2,64.73,66.08,2365470
2014-11-03 16:00:00-05:00,65.91,66.3,63.87,64.35,1845446
2014-11-04 16:00:00-05:00,64.35,64.96,62.88,64.29,1573773
2014-11-05 16:00:00-05:00,65.08,65.69,62.17,62.99,1594771
2014-11-06 16:00:00-05:00,64.54,66.24,63.78,64.83,1700497
2014-11-07 16:00:00-05:00,66.29,67.69,65.31,66.87,2330598
2014-11-10 16:00:00-05:00,67.09,67.6464,65.73,66.76,1645050
2014-11-11 16:00:00-05:00,66.73,67.28,65.83,67.03,1287041
2014-11-12 16:00:00-05:00,66.75,69.18,66.74,67.96,2941712
2014-11-13 16:00:00-05:00,68.39,69.1,65.43,67.36,1960233
2014-11-14 16:00:00-05:00,67.38,68.97,66.33,68.35,1445080
2014-11-17 16:00:00-05:00,68.35,68.9299,64.4025,64.78,2102637
2014-11-18 16:00:00-05:00,65.07,67.0698,64.8001,65.96,2147186
2014-11-19 16:00:00-05:00,65.5,65.89,61.94,63.9,2403438
2014-11-20 16:00:00-05:00,62.75,65.11,62.06,64.94,2583106
2014-11-21 16:00:00-05:00,71.0,72.25,66.75,66.93,6509492
2014-11-24 16:00:00-05:00,66.95,68.4,65.76,66.96,2519856
2014-11-25 16:00:00-05:00,66.9,67.87,65.01,65.63,1872259
2014-11-26 16:00:00-05:00,65.66,68.11,64.89,68.01,1683751
2014-11-28 16:00:00-05:00,68.07,68.21,66.845,67.1,659916
2014-12-01 16:00:00-05:00,66.89,67.0,63.5,63.73,1853856
2014-12-02 16:00:00-05:00,63.92,64.14,62.19,63.19,1628825
2014-12-03 16:00:00-05:00,63.5,64.05,62.4585,63.63,1119072
2014-12-04 16:00:00-05:00,63.7,65.5586,62.95,64.03,1348119
2014-12-05 16:00:00-05:00,64.2,66.51,63.96,65.85,1459096
2014-12-08 16:00:00-05:00,67.96,67.96,62.49,62.805,1940661
2014-12-09 16:00:00-05:00,61.29,62.72,59.62,62.61,2511958
2014-12-10 16:00:00-05:00,62.21,62.86,58.91,59.52,1967082
2014-12-11 16:00:00-05:00,59.95,61.54,56.98,57.26,3182318
2014-12-12 16:00:00-05:00,56.24,57.07,55.4,55.77,2377065
2014-12-15 16:00:00-05:00,56.51,56.96,54.19,54.87,2233300
2014-12-16 16:00:00-05:00,54.22,55.76,53.54,53.75,2265157
2014-12-17 16:00:00-05:00,53.9,57.0,53.9,56.62,1837609
2014-12-18 16:00:00-05:00,57.77,59.66,57.54,59.19,2476396
2014-12-19 16:00:00-05:00,59.36,62.23,59.25,61.605,2563796
2014-12-22 16:00:00-05:00,61.39,62.2,60.66,61.45,1500057
2014-12-23 16:00:00-05:00,61.76,62.8,61.46,61.6,1337958
2014-12-24 16:00:00-05:00,61.56,62.12,61.26,61.49,499196
2014-12-26 16:00:00-05:00,61.63,64.0,61.03,62.98,1163725
2014-12-29 16:00:00-05:00,62.82,63.115,60.98,61.7,740601
2014-12-30 16:00:00-05:00,61.08,61.22,59.22,59.77,926755
2014-12-31 16:00:00-05:00,60.09,60.74,58.87,58.95,892052
2015-01-02 16:00:00-05:00,59.31,59.95,57.278,58.79,960710
2015-01-05 16:00:00-05:00,58.28,59.17,56.04,56.84,2105165
2015-01-06 16:00:00-05:00,57.14,57.45,53.78,55.78,2021547
2015-01-07 16:00:00-05:00,57.1,57.57,55.33,56.245,1327547
2015-01-08 16:00:00-05:00,56.87,58.54,56.33,58.45,1437530
2015-01-09 16:00:00-05:00,58.52,58.97,56.5901,57.64,1323343
2015-01-12 16:00:00-05:00,57.44,57.65,56.21,57.1,1071167
2015-01-13 16:00:00-05:00,57.74,59.5902,56.18,57.31,1241880
2015-01-14 16:00:00-05:00,55.92,57.26,55.095,57.0,1266251
2015-01-15 16:00:00-05:00,56.98,57.4912,53.92,54.17,1420948
2015-01-16 16:00:00-05:00,54.05,55.6844,53.8516,55.28,1362139
2015-01-20 16:00:00-05:00,55.34,55.48,53.77,54.94,910306
2015-01-21 16:00:00-05:00,54.67,56.17,54.02,55.65,1599839
2015-01-22 16:00:00-05:00,56.03,56.43,54.33,55.94,1321302
2015-01-23 16:00:00-05:00,55.66,57.515,55.45,56.89,1160456
2015-01-26 16:00:00-05:00,56.9,57.2699,55.66,56.74,1132682
2015-01-27 16:00:00-05:00,55.98,56.3,54.32,55.53,861710
2015-01-28 16:00:00-05:00,55.9,56.28,53.32,53.41,1217741
2015-01-29 16:00:00-05:00,53.38,54.04,51.78,53.69,1989672
2015-01-30 16:00:00-05:00,53.48,53.5,51.6,51.65,1444584
2015-02-02 16:00:00-05:00,52.08,53.68,51.41,53.35,2320406
2015-02-03 16:00:00-05:00,53.4,55.64,53.312,55.6,1930544
2015-02-04 16:00:00-05:00,55.28,56.66,55.13,56.19,1728796
2015-02-05 16:00:00-05:00,58.7,61.15,57.6101,61.06,2896094
2015-02-06 16:00:00-05:00,61.52,62.93,60.91,62.455,2029340
2015-02-09 16:00:00-05:00,62.0,62.02,60.09,60.48,1675003
2015-02-10 16:00:00-05:00,61.11,61.11,58.7601,58.985,1723955
2015-02-11 16:00:00-05:00,58.92,60.895,58.42,60.6,1042682
2015-02-12 16:00:00-05:00,61.79,62.59,60.53,61.93,1407486
2015-02-13 16:00:00-05:00,62.29,65.12,62.0,64.18,2604210
2015-02-17 16:00:00-05:00,64.19,64.19,62.5,63.83,1975618
2015-02-18 16:00:00-05:00,65.4,66.22,63.85,65.9,1982321
2015-02-19 16:00:00-05:00,67.05,68.34,65.16,68.06,2088380
2015-02-20 16:00:00-05:00,68.29,68.99,67.811,68.945,2203166
2015-02-23 16:00:00-05:00,68.86,69.09,67.85,68.6,1385750
2015-02-24 16:00:00-05:00,67.25,67.85,64.69,66.44,3587520
2015-02-25 16:00:00-05:00,65.69,67.56,65.43,67.5,1785137
2015-02-26 16:00:00-05:00,68.2,69.89,67.88,69.57,4721745
2015-02-27 16:00:00-05:00,74.84,74.88,67.15,67.25,16870421
2015-03-02 16:00:00-05:00,67.0,68.39,65.66,67.12,3930701
2015-03-03 16:00:00-05:00,66.53,66.85,65.04,65.68,2021534
2015-03-04 16:00:00-05:00,65.05,65.43,61.84,63.67,4006365
2015-03-05 16:00:00-05:00,64.01,64.8032,63.48,64.65,1676550
2015-03-06 16:00:00-05:00,64.17,64.96,62.0,62.48,1653290
2015-03-09 16:00:00-04:00,62.53,62.74,61.25,61.83,1625713
2015-03-10 16:00:00-04:00,60.71,61.5,60.13,60.81,1897760
2015-03-11 16:00:00-04:00,61.07,62.07,60.29,60.83,1836014
2015-03-12 16:00:00-04:00,60.7,62.99,60.55,62.83,2034834
2015-03-13 16:00:00-04:00,62.25,63.17,61.85,62.82,2087907
2015-03-16 16:00:00-04:00,62.93,63.2074,60.39,62.07,1959284
2015-03-17 16:00:00-04:00,61.56,62.995,61.53,62.84,1337942
2015-03-18 16:00:00-04:00,62.29,64.9,62.12,64.33,2573092
2015-03-19 16:00:00-04:00,63.85,64.68,63.14,63.73,1449147
2015-03-20 16:00:00-04:00,64.08,64.46,61.65,62.12,1977865
2015-03-23 16:00:00-04:00,61.91,62.74,60.62,60.72,1642489
2015-03-24 16:00:00-04:00,60.75,61.719,60.0,60.04,1686818
2015-03-25 16:00:00-04:00,60.41,60.45,58.065,58.72,2097899
2015-03-26 16:00:00-04:00,58.38,60.03,57.65,59.58,2004671
2015-03-27 16:00:00-04:00,59.57,60.59,59.0,60.4,1411699
2015-03-30 16:00:00-04:00,60.47,61.34,59.66,60.11,1502071
2015-03-31 16:00:00-04:00,59.39,60.39,58.94,59.2,1400542
2015-04-01 16:00:00-04:00,58.88,59.11,57.245,57.82,2005783
2015-04-02 16:00:00-04:00,58.09,59.39,57.832,59.23,1139047
2015-04-06 16:00:00-04:00,59.8,60.96,59.06,60.18,1307221
2015-04-07 16:00:00-04:00,61.83,63.74,60.91,62.09,3007079
2015-04-08 16:00:00-04:00,62.17,64.05,62.13,63.37,1729849
2015-04-09 16:00:00-04:00,63.57,64.05,62.5,63.79,1698968
2015-04-10 16:00:00-04:00,63.96,64.5,63.11,63.17,1158850
2015-04-13 16:00:00-04:00,63.08,64.19,62.41,62.47,1150549
2015-04-14 16:00:00-04:00,62.63,63.15,60.86,62.07,1684151
2015-04-15 16:00:00-04:00,61.96,63.62,61.96,63.45,1461150
2015-04-16 16:00:00-04:00,63.4,65.2,63.11,64.67,2292916
2015-04-17 16:00:00-04:00,63.92,63.94,61.23,62.41,2391870
2015-04-20 16:00:00-04:00,63.31,64.35,61.9,63.74,1519207
2015-04-21 16:00:00-04:00,63.95,65.17,63.95,64.23,1388313
2015-04-22 16:00:00-04:00,64.75,66.05,64.5,65.92,1727178
2015-04-23 16:00:00-04:00,65.72,68.69,65.5,67.81,2558945
2015-04-24 16:00:00-04:00,68.0,68.341,66.57,67.88,1455227
2015-04-27 16:00:00-04:00,68.27,69.6497,67.0,67.32,1816178
2015-04-28 16:00:00-04:00,67.15,67.62,64.89,66.63,1372546
